"V1" "V2" "V3" "V4" "V5"
"1" 2 21 2 2 42
"2" 2 22 3 2 28
"3" 2 11 1 2 51
"4" 2 18 5 2 19
"5" 2 13 1 2 31
"6" 1 13 3 1 13
"7" 2 5 2 2 37
"8" 2 16 8 2 36
"9" 2 4 16 2 21
"10" 2 5 2 2 48
"11" 2 14 15 2 38
"12" 2 21 2 2 42
"13" 2 22 3 2 28
"14" 2 11 1 2 51
"15" 2 18 5 2 19
"16" 2 13 1 2 31
"17" 1 13 3 1 13
"18" 2 5 2 2 37
"19" 2 16 8 2 36
"20" 2 4 16 2 21
"21" 2 5 2 2 48
"22" 2 14 15 2 38
"23" 2 20 2 2 14
"24" 1 23 3 2 38
"25" 2 13 1 2 29
"26" 2 10 3 2 19
"27" 2 7 11 2 30
"28" 1 14 15 2 32
"29" 2 8 3 2 27
"30" 2 12 7 2 34
"31" 2 8 7 2 23
"32" 2 15 1 2 66
"33" 2 23 3 2 12
"34" 2 2 9 2 29
"35" 2 15 1 2 19
"36" 2 20 2 2 3
"37" 2 7 11 2 30
"38" 2 10 3 2 19
"39" 2 23 3 2 11
"40" 2 17 18 2 29
"41" 2 16 20 2 15
"42" 2 3 2 2 37
"43" 2 19 4 2 10
"44" 2 23 3 2 24
"45" 2 3 2 2 26
"46" 2 10 3 2 12
"47" 1 18 7 2 48
"48" 2 22 1 2 51
"49" 2 2 10 2 27
"50" 1 19 6 2 48
"51" 2 8 17 2 63
"52" 2 13 18 2 26
"53" 2 11 10 1 7
"54" 1 3 6 2 42
"55" 1 5 4 1 8
"56" 1 10 8 1 26
"57" 1 2 6 2 29
"58" 2 19 19 2 38
"59" 1 7 7 2 7
"60" 2 22 13 2 34
"61" 1 5 7 1 49
"62" 1 17 5 1 33
"63" 1 15 15 1 53
"64" 1 7 5 2 24
"65" 2 15 17 2 29
"66" 2 10 8 2 18
"67" 2 17 15 1 38
"68" 2 15 2 2 34
"69" 1 20 13 1 15
"70" 2 14 4 2 35
"71" 1 20 6 2 34
"72" 2 8 18 2 12
"73" 2 19 19 1 54
"74" 1 20 1 1 24
"75" 1 14 6 2 19
"76" 1 8 3 1 55
"77" 1 9 3 2 24
"78" 1 20 9 1 61
"79" 2 22 17 2 10
"80" 2 17 13 2 30
"81" 2 18 10 1 55
"82" 1 2 19 1 24
"83" 1 7 2 1 53
"84" 1 2 17 1 47
"85" 2 6 13 1 18
"86" 1 5 4 1 52
"87" 1 22 8 2 60
"88" 2 20 6 1 29
"89" 2 18 10 1 12
"90" 1 22 11 2 7
"91" 1 12 18 1 38
"92" 1 8 3 2 10
"93" 2 20 7 1 9
"94" 1 8 10 2 51
"95" 2 12 18 2 15
"96" 1 23 12 1 15
"97" 2 20 10 2 5
"98" 2 15 16 2 38
"99" 2 18 17 1 32
"100" 2 12 7 1 13
"101" 1 5 10 2 44
"102" 1 22 1 2 63
"103" 2 7 19 1 22
"104" 1 4 5 1 24
"105" 2 3 5 2 9
"106" 1 23 4 1 32
"107" 2 9 4 2 4
"108" 2 12 5 1 32
"109" 1 4 14 2 37
"110" 2 18 18 1 48
"111" 2 5 6 2 36
"112" 1 19 1 2 20
"113" 1 15 11 1 6
"114" 2 13 15 2 59
"115" 1 15 19 2 20
"116" 1 12 16 2 5
"117" 2 3 2 2 32
"118" 1 6 19 2 60
"119" 2 20 16 2 57
"120" 2 12 10 2 62
"121" 1 4 3 2 59
"122" 2 3 4 2 8
"123" 2 8 9 2 15
"124" 2 6 14 2 6
"125" 1 10 6 1 31
"126" 1 15 18 2 27
"127" 1 12 8 2 7
"128" 1 4 2 2 25
"129" 2 21 16 2 24
"130" 1 6 11 2 52
"131" 1 18 6 2 46
"132" 1 17 18 1 42
"133" 2 18 18 2 61
"134" 2 5 20 1 42
"135" 2 21 3 2 20
"136" 1 8 8 2 36
"137" 2 6 4 2 22
"138" 2 6 3 2 7
"139" 1 20 12 1 52
"140" 2 12 18 1 64
"141" 1 16 3 1 23
"142" 2 16 1 2 59
"143" 1 3 17 2 32
"144" 2 15 6 2 13
"145" 2 8 5 1 36
"146" 1 10 16 1 9
"147" 2 8 15 1 19
"148" 2 11 2 2 52
"149" 1 4 8 1 37
"150" 2 10 16 2 6
"151" 2 19 7 2 4
"152" 1 12 2 2 9
"153" 1 13 3 2 24
"154" 2 15 19 2 23
"155" 2 3 15 1 6
"156" 2 21 14 2 10
"157" 1 23 9 2 8
"158" 1 14 16 1 52
"159" 2 6 9 2 41
"160" 1 19 14 2 48
"161" 2 19 6 1 29
"162" 1 22 11 2 55
"163" 2 13 3 2 52
"164" 2 17 13 1 37
"165" 2 7 12 1 19
"166" 2 20 14 1 29
"167" 1 4 19 2 39
"168" 2 4 12 1 20
"169" 2 22 16 1 19
"170" 1 5 11 2 35
"171" 1 16 8 2 45
"172" 1 22 13 1 23
"173" 1 9 13 1 34
"174" 1 14 9 1 50
"175" 2 16 5 1 56
"176" 2 9 8 2 7
"177" 2 19 17 1 29
"178" 1 3 6 1 56
"179" 2 9 17 2 8
"180" 2 16 16 2 53
"181" 1 21 14 1 65
"182" 1 10 15 1 54
"183" 1 21 11 1 44
"184" 1 13 12 1 43
"185" 1 21 11 2 7
"186" 2 10 6 2 44
"187" 2 20 7 2 59
"188" 1 14 5 1 22
"189" 1 15 8 1 7
"190" 2 15 12 2 22
"191" 2 22 19 2 20
"192" 2 7 18 1 59
"193" 2 6 19 1 25
"194" 2 18 18 2 18
"195" 2 13 8 2 54
"196" 2 22 14 1 17
"197" 2 8 18 2 37
"198" 1 22 19 1 46
"199" 1 21 16 2 14
"200" 2 21 1 2 51
"201" 2 15 13 2 20
"202" 2 4 18 1 40
"203" 1 12 5 2 19
"204" 1 20 9 2 48
"205" 1 13 19 2 40
"206" 2 14 14 1 43
"207" 1 9 8 2 48
"208" 2 18 15 1 33
"209" 2 19 15 2 45
"210" 2 17 10 2 30
"211" 2 15 15 1 18
"212" 2 11 9 1 65
"213" 1 21 13 2 23
"214" 2 12 20 1 60
"215" 1 5 16 1 29
"216" 2 17 7 2 24
"217" 2 10 15 2 16
"218" 1 4 19 2 66
"219" 1 17 7 1 54
"220" 1 9 11 1 23
"221" 1 22 6 2 15
"222" 2 18 12 2 35
"223" 2 6 15 1 36
"224" 1 12 4 1 58
"225" 1 5 20 2 61
"226" 2 3 19 1 25
"227" 1 8 19 2 24
"228" 1 10 16 1 34
"229" 1 16 19 2 47
"230" 2 9 8 1 53
"231" 2 13 18 2 16
"232" 1 8 18 2 58
"233" 2 19 13 1 3
"234" 2 22 18 1 29
"235" 2 2 12 1 60
"236" 1 23 6 2 50
"237" 2 15 12 2 40
"238" 1 16 19 1 10
"239" 2 15 6 2 21
"240" 1 22 18 2 62
"241" 1 8 5 2 43
"242" 2 9 7 2 50
"243" 2 17 9 1 18
"244" 1 7 14 1 54
"245" 2 10 19 1 13
"246" 1 6 7 2 62
"247" 1 7 2 2 15
"248" 2 22 8 1 6
"249" 2 11 11 1 64
"250" 2 17 2 1 47
"251" 1 3 2 1 17
"252" 1 13 17 1 5
"253" 1 18 11 1 9
"254" 1 20 13 2 45
"255" 1 22 5 1 13
"256" 2 17 4 1 17
"257" 2 13 3 1 61
"258" 1 22 13 2 56
"259" 2 15 10 1 13
"260" 1 12 5 1 46
"261" 2 6 2 1 30
"262" 2 13 8 2 35
"263" 1 13 12 1 39
"264" 1 11 13 2 30
"265" 1 6 1 1 61
"266" 2 12 1 1 35
"267" 1 23 13 1 60
"268" 2 10 17 2 58
"269" 2 17 19 1 16
"270" 1 13 14 2 57
"271" 2 11 2 1 19
"272" 2 12 10 2 34
"273" 1 22 12 1 18
"274" 1 22 12 2 23
"275" 1 19 14 1 58
"276" 2 3 12 1 25
"277" 1 3 17 2 42
"278" 1 14 5 2 39
"279" 2 18 7 1 19
"280" 1 2 7 2 39
"281" 2 14 3 1 56
"282" 1 13 19 1 15
"283" 2 9 10 1 63
"284" 2 13 18 2 55
"285" 2 18 3 1 39
"286" 2 12 8 2 15
"287" 1 9 20 2 3
"288" 2 14 19 1 37
"289" 2 3 3 2 46
"290" 1 7 16 1 31
"291" 1 15 14 2 55
"292" 1 23 18 2 34
"293" 1 18 19 1 6
"294" 2 6 1 1 18
"295" 1 8 18 1 54
"296" 1 13 20 1 9
"297" 2 10 16 2 42
"298" 1 19 13 2 33
"299" 1 18 18 1 33
"300" 1 18 10 2 10
"301" 1 18 18 1 12
"302" 1 15 18 2 41
"303" 2 6 10 1 51
"304" 2 16 3 1 45
"305" 2 14 15 2 11
"306" 2 12 3 2 6
"307" 1 7 8 2 47
"308" 1 22 15 1 63
"309" 1 14 9 2 58
"310" 2 13 12 1 42
"311" 1 10 4 2 31
"312" 1 19 11 2 10
"313" 1 9 5 2 6
"314" 2 20 3 2 15
"315" 1 15 18 1 50
"316" 1 14 10 2 5
"317" 2 6 3 2 61
"318" 1 10 19 2 22
"319" 1 10 9 1 49
"320" 2 21 15 2 35
"321" 2 8 6 2 5
"322" 2 3 3 2 61
"323" 2 4 6 2 43
"324" 1 12 17 1 48
"325" 2 22 2 1 33
"326" 1 10 10 2 30
"327" 2 20 7 1 20
"328" 2 7 5 2 52
"329" 2 11 4 1 17
"330" 2 7 8 1 60
"331" 2 23 10 2 24
"332" 2 17 2 1 54
"333" 2 20 20 1 62
"334" 2 6 11 2 63
"335" 1 6 9 1 27
"336" 1 10 19 2 6
"337" 2 8 16 2 59
"338" 1 8 15 2 49
